,frame,x,y,r,name,sample_rate,examplenr
95,96,450,270,268,framenr_96_framevid_June09_01,25.0,exp5
96,97,680,614,242,framenr_97_framevid_June09_01,25.0,exp5
97,98,602,558,262,framenr_98_framevid_June09_01,25.0,exp5
98,99,1040,724,198,framenr_99_framevid_June09_01,25.0,exp5
99,100,1110,430,194,framenr_100_framevid_June09_01,25.0,exp5
100,101,524,240,265,framenr_101_framevid_June09_01,25.0,exp5
101,102,800,616,208,framenr_102_framevid_June09_01,25.0,exp5
102,103,610,282,200,framenr_103_framevid_June09_01,25.0,exp5
103,104,594,274,213,framenr_104_framevid_June09_01,25.0,exp5
104,105,526,462,260,framenr_105_framevid_June09_01,25.0,exp5
105,106,812,426,207,framenr_106_framevid_June09_01,25.0,exp5
106,107,1120,524,224,framenr_107_framevid_June09_01,25.0,exp5
107,108,1118,580,172,framenr_108_framevid_June09_01,25.0,exp5
108,109,970,758,258,framenr_109_framevid_June09_01,25.0,exp5
109,110,1110,604,148,framenr_110_framevid_June09_01,25.0,exp5
110,111,1120,588,169,framenr_111_framevid_June09_01,25.0,exp5
111,112,1132,556,208,framenr_112_framevid_June09_01,25.0,exp5
