,frame,x,y,r,namefr,sample_rate
356,357,864,686,178,framenr_357_framevid_example8,50.0
357,358,850,672,184,framenr_358_framevid_example8,50.0
358,359,850,652,173,framenr_359_framevid_example8,50.0
359,360,860,628,187,framenr_360_framevid_example8,50.0
360,361,850,624,181,framenr_361_framevid_example8,50.0
361,362,862,628,188,framenr_362_framevid_example8,50.0
362,363,826,476,172,framenr_363_framevid_example8,50.0
363,364,868,674,171,framenr_364_framevid_example8,50.0
364,365,874,660,178,framenr_365_framevid_example8,50.0
365,366,874,638,183,framenr_366_framevid_example8,50.0
366,367,876,624,183,framenr_367_framevid_example8,50.0
367,368,870,620,178,framenr_368_framevid_example8,50.0
368,369,874,614,187,framenr_369_framevid_example8,50.0
369,370,856,642,178,framenr_370_framevid_example8,50.0
370,371,842,682,136,framenr_371_framevid_example8,50.0
371,372,854,684,166,framenr_372_framevid_example8,50.0
372,373,870,660,173,framenr_373_framevid_example8,50.0
373,374,876,638,181,framenr_374_framevid_example8,50.0
374,375,878,620,190,framenr_375_framevid_example8,50.0
375,376,872,620,188,framenr_376_framevid_example8,50.0
376,377,856,640,171,framenr_377_framevid_example8,50.0
377,378,880,642,194,framenr_378_framevid_example8,50.0
378,379,870,680,179,framenr_379_framevid_example8,50.0
379,380,876,696,169,framenr_380_framevid_example8,50.0
380,381,896,694,162,framenr_381_framevid_example8,50.0
381,382,968,650,236,framenr_382_framevid_example8,50.0
382,383,876,534,236,framenr_383_framevid_example8,50.0
383,384,878,544,242,framenr_384_framevid_example8,50.0
384,385,902,716,155,framenr_385_framevid_example8,50.0
385,386,894,722,167,framenr_386_framevid_example8,50.0
386,387,906,706,177,framenr_387_framevid_example8,50.0
387,388,884,568,260,framenr_388_framevid_example8,50.0
388,389,898,714,180,framenr_389_framevid_example8,50.0
389,390,892,554,243,framenr_390_framevid_example8,50.0
390,391,896,724,168,framenr_391_framevid_example8,50.0
391,392,892,570,237,framenr_392_framevid_example8,50.0
392,393,892,726,162,framenr_393_framevid_example8,50.0
393,394,892,724,161,framenr_394_framevid_example8,50.0
394,395,888,724,156,framenr_395_framevid_example8,50.0
395,396,896,538,230,framenr_396_framevid_example8,50.0
396,397,904,710,171,framenr_397_framevid_example8,50.0
397,398,898,708,164,framenr_398_framevid_example8,50.0
398,399,894,714,151,framenr_399_framevid_example8,50.0
399,400,930,678,181,framenr_400_framevid_example8,50.0
400,401,924,682,165,framenr_401_framevid_example8,50.0
401,402,902,516,209,framenr_402_framevid_example8,50.0
402,403,938,658,174,framenr_403_framevid_example8,50.0
403,404,984,626,225,framenr_404_framevid_example8,50.0
404,405,956,638,191,framenr_405_framevid_example8,50.0
405,406,954,634,190,framenr_406_framevid_example8,50.0
406,407,956,636,189,framenr_407_framevid_example8,50.0
407,408,958,632,192,framenr_408_framevid_example8,50.0
408,409,924,660,161,framenr_409_framevid_example8,50.0
409,410,1078,806,113,framenr_410_framevid_example8,50.0
410,411,914,660,157,framenr_411_framevid_example8,50.0
411,412,920,650,160,framenr_412_framevid_example8,50.0
412,413,906,654,167,framenr_413_framevid_example8,50.0
413,414,928,646,193,framenr_414_framevid_example8,50.0
414,415,918,644,186,framenr_415_framevid_example8,50.0
415,416,920,646,189,framenr_416_framevid_example8,50.0
416,417,932,638,190,framenr_417_framevid_example8,50.0
417,418,926,648,194,framenr_418_framevid_example8,50.0
418,419,920,650,175,framenr_419_framevid_example8,50.0
419,420,908,666,172,framenr_420_framevid_example8,50.0
420,421,906,666,173,framenr_421_framevid_example8,50.0
421,422,904,664,173,framenr_422_framevid_example8,50.0
422,423,918,650,180,framenr_423_framevid_example8,50.0
423,424,904,662,179,framenr_424_framevid_example8,50.0
424,425,902,662,180,framenr_425_framevid_example8,50.0
425,426,920,640,196,framenr_426_framevid_example8,50.0
426,427,910,654,195,framenr_427_framevid_example8,50.0
427,428,926,636,204,framenr_428_framevid_example8,50.0
428,429,908,654,194,framenr_429_framevid_example8,50.0
429,430,910,654,195,framenr_430_framevid_example8,50.0
430,431,904,654,175,framenr_431_framevid_example8,50.0
431,432,922,640,197,framenr_432_framevid_example8,50.0
432,433,924,640,196,framenr_433_framevid_example8,50.0
433,434,916,648,198,framenr_434_framevid_example8,50.0
434,435,912,648,180,framenr_435_framevid_example8,50.0
435,436,912,654,175,framenr_436_framevid_example8,50.0
436,437,934,634,204,framenr_437_framevid_example8,50.0
437,438,926,640,193,framenr_438_framevid_example8,50.0
438,439,924,642,190,framenr_439_framevid_example8,50.0
439,440,904,662,173,framenr_440_framevid_example8,50.0
440,441,924,642,187,framenr_441_framevid_example8,50.0
441,442,928,638,191,framenr_442_framevid_example8,50.0
442,443,896,666,164,framenr_443_framevid_example8,50.0
443,444,910,652,166,framenr_444_framevid_example8,50.0
444,445,900,662,164,framenr_445_framevid_example8,50.0
445,446,896,654,165,framenr_446_framevid_example8,50.0
446,447,918,646,187,framenr_447_framevid_example8,50.0
447,448,930,638,187,framenr_448_framevid_example8,50.0
448,449,924,642,180,framenr_449_framevid_example8,50.0
449,450,908,652,161,framenr_450_framevid_example8,50.0
450,451,914,652,180,framenr_451_framevid_example8,50.0
451,452,926,640,182,framenr_452_framevid_example8,50.0
452,453,916,654,180,framenr_453_framevid_example8,50.0
453,454,918,650,170,framenr_454_framevid_example8,50.0
454,455,912,654,178,framenr_455_framevid_example8,50.0
455,456,914,650,167,framenr_456_framevid_example8,50.0
456,457,914,652,165,framenr_457_framevid_example8,50.0
457,458,916,648,171,framenr_458_framevid_example8,50.0
