"X.1","Label","X","Y","Perim.","name","radius_man"
29,"Batch14:framenr_76_framevid_June12_03.jpeg",75.5,51.5,21.991,"framenr_76_framevid_June12_03",3
30,"Batch14:framenr_76_framevid_June16_02.jpeg",1033.5,684.5,889.071,"framenr_76_framevid_June16_02",142
31,"Batch14:framenr_76_framevid_June16_07.jpeg",1065,527,1130.973,"framenr_76_framevid_June16_07",180
32,"Batch14:framenr_76_framevid_June16_20.jpeg",865,530,1501.681,"framenr_76_framevid_June16_20",239
33,"Batch14:framenr_77_framevid_June09_01.jpeg",948.5,591.5,1165.531,"framenr_77_framevid_June09_01",186
34,"Batch14:framenr_77_framevid_June09_02.jpeg",807.5,580.5,1215.796,"framenr_77_framevid_June09_02",193
35,"Batch14:framenr_77_framevid_June12_02.jpeg",78,93,50.265,"framenr_77_framevid_June12_02",8
36,"Batch14:framenr_77_framevid_June12_03.jpeg",78,93,50.265,"framenr_77_framevid_June12_03",8
37,"Batch14:framenr_77_framevid_June16_02.jpeg",1050,667,973.894,"framenr_77_framevid_June16_02",155
38,"Batch14:framenr_77_framevid_June16_07.jpeg",1075,523,1174.956,"framenr_77_framevid_June16_07",187
39,"Batch14:framenr_77_framevid_June16_20.jpeg",871.5,527.5,1485.973,"framenr_77_framevid_June16_20",236
40,"Batch14:framenr_78_framevid_June09_01.jpeg",946.5,609.5,1134.115,"framenr_78_framevid_June09_01",181
41,"Batch14:framenr_78_framevid_June09_02.jpeg",802,569,1281.77,"framenr_78_framevid_June09_02",204
42,"Batch14:framenr_78_framevid_June12_02.jpeg",110,98,43.982,"framenr_78_framevid_June12_02",7
43,"Batch14:framenr_78_framevid_June12_03.jpeg",110,98,43.982,"framenr_78_framevid_June12_03",7
44,"Batch14:framenr_78_framevid_June16_02.jpeg",1039.5,676.5,939.336,"framenr_78_framevid_June16_02",149
45,"Batch14:framenr_78_framevid_June16_07.jpeg",1068,531,1124.69,"framenr_78_framevid_June16_07",179
46,"Batch14:framenr_78_framevid_June16_20.jpeg",869,530,1476.549,"framenr_78_framevid_June16_20",235
47,"Batch14:framenr_79_framevid_June09_01.jpeg",947.5,633.5,1065,"framenr_79_framevid_June09_01",170
48,"Batch14:framenr_79_framevid_June09_02.jpeg",777.5,587.5,1178.097,"framenr_79_framevid_June09_02",187
49,"Batch14:framenr_79_framevid_June12_02.jpeg",122,71,37.699,"framenr_79_framevid_June12_02",6
50,"Batch14:framenr_79_framevid_June12_03.jpeg",122,71,37.699,"framenr_79_framevid_June12_03",6
1,"Batch15:framenr_79_framevid_June16_02.jpeg",1048.5,674.5,970.752,"framenr_79_framevid_June16_02",154
2,"Batch15:framenr_79_framevid_June16_07.jpeg",1067.5,533.5,1159.248,"framenr_79_framevid_June16_07",185
3,"Batch15:framenr_79_framevid_June16_20.jpeg",872.5,519.5,1517.389,"framenr_79_framevid_June16_20",241
4,"Batch15:framenr_80_framevid_June09_01.jpeg",955.5,647.5,1014.734,"framenr_80_framevid_June09_01",161
5,"Batch15:framenr_80_framevid_June09_02.jpeg",818,609,1288.053,"framenr_80_framevid_June09_02",205
6,"Batch15:framenr_80_framevid_June12_02.jpeg",89,82,37.699,"framenr_80_framevid_June12_02",6
7,"Batch15:framenr_80_framevid_June12_03.jpeg",89,82,37.699,"framenr_80_framevid_June12_03",6
8,"Batch15:framenr_80_framevid_June16_02.jpeg",1045,669,942.478,"framenr_80_framevid_June16_02",150
9,"Batch15:framenr_80_framevid_June16_07.jpeg",1078.5,531.5,1215.796,"framenr_80_framevid_June16_07",193
10,"Batch15:framenr_80_framevid_June16_20.jpeg",870.5,518.5,1467.124,"framenr_80_framevid_June16_20",234
11,"Batch15:framenr_81_framevid_June09_01.jpeg",959.5,652.5,989.602,"framenr_81_framevid_June09_01",158
12,"Batch15:framenr_81_framevid_June09_02.jpeg",833,598,1382.301,"framenr_81_framevid_June09_02",220
13,"Batch15:framenr_81_framevid_June12_02.jpeg",73,73,31.416,"framenr_81_framevid_June12_02",5
14,"Batch15:framenr_81_framevid_June12_03.jpeg",73,73,31.416,"framenr_81_framevid_June12_03",5
15,"Batch15:framenr_81_framevid_June16_02.jpeg",1034,634,955.044,"framenr_81_framevid_June16_02",152
16,"Batch15:framenr_81_framevid_June16_07.jpeg",1080.5,523.5,1222.08,"framenr_81_framevid_June16_07",195
17,"Batch15:framenr_81_framevid_June16_20.jpeg",868.5,528.5,1429.425,"framenr_81_framevid_June16_20",228
18,"Batch15:framenr_82_framevid_June09_01.jpeg",963,649,1017.876,"framenr_82_framevid_June09_01",162
19,"Batch15:framenr_82_framevid_June09_02.jpeg",794,574,1206.372,"framenr_82_framevid_June09_02",192
20,"Batch15:framenr_82_framevid_June12_02.jpeg",78,84,25.133,"framenr_82_framevid_June12_02",4
