"radius","x","y","frame","videofile","normalization_value","norm_radius"
"221.469663976707","966.839958327829","564.347996145915","20","_Opp_August_14_Session_1_zoom_syncedboom_5_3_FajarDLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv",26.2783458148926,8.42783885777143
"391.327393158641","1275.97597280986","710.888451393204","21","_Opp_August_14_Session_1_zoom_syncedboom_5_3_FajarDLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv",26.2783458148926,14.8916296297793
"395.272127263947","1276.61009439365","715.21158290236","22","_Opp_August_14_Session_1_zoom_syncedboom_5_3_FajarDLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv",26.2783458148926,15.0417431161111
"225.999895662595","977.098462156885","567.819134164482","23","_Opp_August_14_Session_1_zoom_syncedboom_5_3_FajarDLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv",26.2783458148926,8.60023295433289
"377.10768310527","1254.98145061738","702.294530091158","24","_Opp_August_14_Session_1_zoom_syncedboom_5_3_FajarDLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv",26.2783458148926,14.3505107118102
"356.998923824377","1233.08990257864","689.56200700662","25","_Opp_August_14_Session_1_zoom_syncedboom_5_3_FajarDLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv",26.2783458148926,13.5852890565911
"289.050224026855","1169.90421406499","640.40562499559","26","_Opp_August_14_Session_1_zoom_syncedboom_5_3_FajarDLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv",26.2783458148926,10.9995593353918
"165.270605074053","997.953741800224","502.708717002439","27","_Opp_August_14_Session_1_zoom_syncedboom_5_3_FajarDLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv",26.2783458148926,6.2892316829315
"213.24486094427","804.603196390328","356.97895831962","1","_Opp_August_18_Session_1_zoom_syncedboom_1_1_PelangiDLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv",NA,NA
NA,NA,NA,"2","_Opp_August_18_Session_1_zoom_syncedboom_1_1_PelangiDLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv",NA,NA
"209.895625825111","808.963274915671","360.124270198732","3","_Opp_August_18_Session_1_zoom_syncedboom_1_1_PelangiDLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv",NA,NA
"170.454795580055","851.516791281152","379.318033538761","4","_Opp_August_18_Session_1_zoom_syncedboom_1_1_PelangiDLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv",NA,NA
NA,NA,NA,"5","_Opp_August_18_Session_1_zoom_syncedboom_1_1_PelangiDLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv",NA,NA
"197.189685539076","823.62497424828","363.009630989771","6","_Opp_August_18_Session_1_zoom_syncedboom_1_1_PelangiDLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv",NA,NA
NA,NA,NA,"7","_Opp_August_18_Session_1_zoom_syncedboom_1_1_PelangiDLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv",NA,NA
"188.827998933598","835.80030266582","367.056389562277","8","_Opp_August_18_Session_1_zoom_syncedboom_1_1_PelangiDLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv",NA,NA
"188.722773950296","835.598368807606","370.268372756663","9","_Opp_August_18_Session_1_zoom_syncedboom_1_1_PelangiDLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv",NA,NA
"214.950498055573","803.829459065406","374.854017824185","10","_Opp_August_18_Session_1_zoom_syncedboom_1_1_PelangiDLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv",NA,NA
"190.480805689972","835.678330504322","371.075936526517","11","_Opp_August_18_Session_1_zoom_syncedboom_1_1_PelangiDLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv",NA,NA
"188.489958992679","837.924696747328","370.512770827133","12","_Opp_August_18_Session_1_zoom_syncedboom_1_1_PelangiDLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv",NA,NA
